DATE OF FINAL,YEAR,TOURNAMENT,WINNER,DOB,Age when Grand Slam won (days),"Age when Grand Slam won (years, months, days)"
10/09/17,2017,U.S. Open,Rafael Nadal,03/06/1986,11422,
16/07/17,2017,Wimbledon,Roger Federer,08/08/1981,13126,
11/06/17,2017,French Open,Rafael Nadal,03/06/1986,11331,
29/01/17,2017,Australian Open,Roger Federer,08/08/1981,12958,
11/09/16,2016,U.S. Open,Stan Wawrinka,28/03/1985,11490,
10/07/16,2016,Wimbledon,Andy Murray,15/05/1987,10649,
05/06/16,2016,French Open,Novak Djokovic,22/05/1987,10607,
31/01/16,2016,Australian Open,Novak Djokovic,22/05/1987,10481,
13/09/15,2015,U.S. Open,Novak Djokovic,22/05/1987,10341,
12/07/15,2015,Wimbledon,Novak Djokovic,22/05/1987,10278,
07/06/15,2015,French Open,Stan Wawrinka,28/03/1985,11028,
01/02/15,2015,Australian Open,Novak Djokovic,22/05/1987,10117,
08/09/14,2014,U.S. Open,Marin Cilic,28/09/1988,9476,
07/07/14,2014,Wimbledon,Novak Djokovic,22/05/1987,9908,
08/06/14,2014,French Open,Rafael Nadal,03/06/1986,10232,
26/01/14,2014,Australian Open,Stan Wawrinka,28/03/1985,10531,
09/09/13,2013,U.S. Open,Rafael Nadal,03/06/1986,9960,
07/07/13,2013,Wimbledon,Andy Murray,15/05/1987,9550,
09/06/13,2013,French Open,Rafael Nadal,03/06/1986,9868,
27/01/13,2013,Australian Open,Novak Djokovic,22/05/1987,9382,
10/09/12,2012,U.S. Open,Andy Murray,15/05/1987,9250,
08/07/12,2012,Wimbledon,Roger Federer,08/08/1981,11292,
11/06/12,2012,French Open,Rafael Nadal,03/06/1986,9505,
29/01/12,2012,Australian Open,Novak Djokovic,22/05/1987,9018,
12/09/11,2011,U.S. Open,Novak Djokovic,22/05/1987,8879,
03/07/11,2011,Wimbledon,Novak Djokovic,22/05/1987,8808,
05/06/11,2011,French Open,Rafael Nadal,03/06/1986,9133,
30/01/11,2011,Australian Open,Novak Djokovic,22/05/1987,8654,
