DATE OF FINAL,YEAR,Decade,TOURNAMENT,WINNER,DOB,Age when Grand Slam won (days lived),"Age when Grand Slam won (years, rounded)",(days since last birthday),Age when Grand Slam won (years)
09 September 2017,2017,2010s,U.S. Open,Sloane Stephens,20/03/1993,8939,24,179,24.49041096
15 July 2017,2017,2010s,Wimbledon,Garbine Muguruza,08/10/1993,8681,23,286,23.78356164
10 June 2017,2017,2010s,French Open,Jeļena Ostapenko,08/06/1997,7307,20,7,20.01917808
28 January 2017,2017,2010s,Australian Open,Serena Williams,26/09/1981,12908,35,133,35.36438356
10 September 2016,2016,2010s,U.S. Open,Angelique Kerber,18/01/1988,10463,28,243,28.66575342
09 July 2016,2016,2010s,Wimbledon,Serena Williams,26/09/1981,12705,34,295,34.80821918
04 June 2016,2016,2010s,French Open,Garbine Muguruza,08/10/1993,8275,22,245,22.67123288
30 January 2016,2016,2010s,Australian Open,Angelique Kerber,18/01/1988,10239,28,19,28.05205479
12 September 2015,2015,2010s,U.S. Open,Flavia Pennetta,25/02/1982,12252,33,207,33.56712329
11 July 2015,2015,2010s,Wimbledon,Serena Williams,26/09/1981,12341,33,296,33.8109589
06 June 2015,2015,2010s,French Open,Serena Williams,26/09/1981,12306,33,261,33.71506849
31 January 2015,2015,2010s,Australian Open,Serena Williams,26/09/1981,12180,33,135,33.36986301
07 September 2014,2014,2010s,U.S. Open,Serena Williams,26/09/1981,12034,32,354,32.96986301
06 July 2014,2014,2010s,Wimbledon,Marion Bartoli,02/10/1984,10869,29,284,29.77808219
07 June 2014,2014,2010s,French Open,Maria Sharapova,19/04/1987,9911,27,56,27.15342466
25 January 2014,2014,2010s,Australian Open,Li Na,26/02/1982,11656,31,341,31.93424658
08 September 2013,2013,2010s,U.S. Open,Serena Williams,26/09/1981,11670,31,355,31.97260274
06 July 2013,2013,2010s,Wimbledon,Marion Bartoli,02/10/1984,10504,28,284,28.77808219
08 June 2013,2013,2010s,French Open,Serena Williams,26/09/1981,11578,31,263,31.72054795
26 January 2013,2013,2010s,Australian Open,Victoria Azarenka,31/07/1989,8580,23,185,23.50684932
09 September 2012,2012,2010s,U.S. Open,Serena Williams,26/09/1981,11306,30,356,30.97534247
07 July 2012,2012,2010s,Wimbledon,Serena Williams,26/09/1981,11242,30,292,30.8
10 June 2012,2012,2010s,French Open,Maria Sharapova,19/04/1987,9184,25,59,25.16164384
28 January 2012,2012,2010s,Australian Open,Victoria Azarenka,31/07/1989,8216,22,186,22.50958904
11 September 2011,2011,2010s,U.S. Open,Samantha Stosur,30/03/1984,10026,27,171,27.46849315
02 July 2011,2011,2010s,Wimbledon,Petra Kvitova,08/03/1990,7786,21,121,21.33150685
04 June 2011,2011,2010s,French Open,Li Na,26/02/1982,10690,29,105,29.28767123
29 January 2011,2011,2010s,Australian Open,Kim Clijsters,08/06/1983,10097,27,242,27.6630137
12 September 2010,2010,2010s,U.S. Open,Kim Clijsters,08/06/1983,9958,27,103,27.28219178
03 July 2010,2010,2010s,Wimbledon,Serena Williams,26/09/1981,10507,28,287,28.78630137
05 June 2010,2010,2010s,French Open,Francesca Schiavone,23/06/1980,10939,29,354,29.96986301
30 January 2010,2010,2010s,Australian Open,Serena Williams,26/09/1981,10353,28,133,28.36438356
13 September 2009,2009,2000s,U.S. Open,Kim Clijsters,08/06/1983,9594,26,104,26.28493151
04 July 2009,2009,2000s,Wimbledon,Serena Williams,26/09/1981,10143,27,288,27.7890411
06 June 2009,2009,2000s,French Open,Svetlana Kuznetsova,27/06/1985,8745,23,350,23.95890411
31 January 2009,2009,2000s,Australian Open,Serena Williams,26/09/1981,9989,27,134,27.36712329
07 September 2008,2008,2000s,U.S. Open,Serena Williams,26/09/1981,9843,26,353,26.96712329
05 July 2008,2008,2000s,Wimbledon,Venus Williams,17/06/1980,10245,28,25,28.06849315
07 June 2008,2008,2000s,French Open,Ana Ivanovic,06/11/1987,7519,20,219,20.6
26 January 2008,2008,2000s,Australian Open,Maria Sharapova,19/04/1987,7587,20,287,20.78630137
08 September 2007,2007,2000s,U.S. Open,Justine Henin-Hardenne,01/06/1982,9230,25,105,25.28767123
07 July 2007,2007,2000s,Wimbledon,Venus Williams,17/06/1980,9881,27,26,27.07123288
09 June 2007,2007,2000s,French Open,Justine Henin-Hardenne,01/06/1982,9139,25,14,25.03835616
27 January 2007,2007,2000s,Australian Open,Serena Williams,26/09/1981,9254,25,129,25.35342466
09 September 2006,2006,2000s,U.S. Open,Maria Sharapova,19/04/1987,7083,19,148,19.40547945
08 July 2006,2006,2000s,Wimbledon,Amelie Mauresmo,05/07/1979,9865,27,10,27.02739726
10 June 2006,2006,2000s,French Open,Justine Henin-Hardenne,01/06/1982,8775,24,15,24.04109589
28 January 2006,2006,2000s,Australian Open,Amelie Mauresmo,05/07/1979,9704,26,214,26.58630137
10 September 2005,2005,2000s,U.S. Open,Kim Clijsters,08/06/1983,8130,22,100,22.2739726
02 July 2005,2005,2000s,Wimbledon,Venus Williams,17/06/1980,9146,25,21,25.05753425
04 June 2005,2005,2000s,French Open,Justine Henin-Hardenne,01/06/1982,8404,23,9,23.02465753
29 January 2005,2005,2000s,Australian Open,Serena Williams,26/09/1981,8526,23,131,23.35890411
11 September 2004,2004,2000s,U.S. Open,Svetlana Kuznetsova,27/06/1985,7016,19,81,19.22191781
03 July 2004,2004,2000s,Wimbledon,Maria Sharapova,19/04/1987,6285,17,80,17.21917808
05 June 2004,2004,2000s,French Open,Anastasia Myskina,08/07/1981,8368,22,338,22.9260274
31 January 2004,2004,2000s,Australian Open,Justine Henin-Hardenne,01/06/1982,7914,21,249,21.68219178
